"","LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X"
"40","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221848,2335547,NA,"",60,"Longitude","Longitude","-77.85","dec","Single","","","",-77.85,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"41","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221854,2335646,NA,"",59,"Latitude","Latitude","41.95","dec","Single","","","",41.95,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"42","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221854,2335647,NA,"",60,"Longitude","Longitude","-72.12","dec","Single","","","",-72.12,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"43","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221855,2335668,NA,"",59,"Latitude","Latitude","41.95","dec","Single","","","",41.95,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"44","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus rubra",45473,"Quercus rubra",221855,2335669,NA,"",60,"Longitude","Longitude","-72.12","dec","Single","","","",-72.12,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"45","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221856,2335690,NA,"",59,"Latitude","Latitude","41.95","dec","Single","","","",41.95,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"46","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221856,2335691,NA,"",60,"Longitude","Longitude","-72.12","dec","Single","","","",-72.12,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"47","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221857,2335712,NA,"",59,"Latitude","Latitude","41.95","dec","Single","","","",41.95,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"48","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",221857,2335713,NA,"",60,"Longitude","Longitude","-72.12","dec","Single","","","",-72.12,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"49","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",222411,2345834,NA,"",59,"Latitude","Latitude","40.82","dec","Single","","","",40.82,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"50","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",222411,2345835,NA,"",60,"Longitude","Longitude","-77.93","dec","Single","","","",-77.93,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"51","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",222412,2345864,NA,"",59,"Latitude","Latitude","40.82","dec","Single","","","",40.82,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
"52","Niinemets","lo",87,"Global Leaf Robustness and Physiology Database","Quercus velutina",45501,"Quercus velutina",222412,2345865,NA,"",60,"Longitude","Longitude","-77.93","dec","Single","","","",-77.93,"",NA,NA,NA,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.","","",NA
