"","spp_name","trait_name","value","unit","kind","source"
"125","Acacia decurrens","SLA",12.2390434352557,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"126","Acacia decurrens","LeafN",29.7578898715973,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"127","Acacia koa","gsmax",866.734602222443,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"128","Acacia koa","P12",-3.03680917680264,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"129","Acacia koa","P50",-1.70967771629492,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"130","Acacia koa","P88",-5.12208182613055,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"131","Acacia koa","Rooting Depth maximum",5.72260089227309,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"132","Acacia koa","WUE",12.199883312583,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"133","Acacia koa","height",12.5029579242071,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"134","Acacia koa","SLA",17.0838146360715,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"135","Acacia koa","LeafN",35.9870507049561,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"136","Acacia koaia","gsmax",189.809153594971,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"137","Acacia koaia","P12",-2.9068545332551,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"138","Acacia koaia","P50",-1.86209127883116,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"139","Acacia koaia","P88",-4.97467467427254,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"140","Acacia koaia","Rooting Depth maximum",11.7437971615233,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"141","Acacia koaia","WUE",22.0618540291985,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"142","Acacia koaia","height",11.3884528795878,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"143","Acacia koaia","SLA",8.00349664290746,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"144","Acacia koaia","LeafN",22.5704184277852,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"145","Acacia longifolia","gsmax",500.457871500651,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"146","Acacia longifolia","P12",-3.42040527691444,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"147","Acacia longifolia","P50",-1.65552777926127,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"148","Acacia longifolia","P88",-4.96062712748845,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"149","Acacia longifolia","Rooting Depth maximum",4.87650967678676,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"150","Acacia longifolia","WUE",16.0681987504164,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"151","Acacia longifolia","height",9.68695631027222,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"152","Acacia longifolia","SLA",6.01487655798594,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"153","Acacia longifolia","LeafN",25.5585509236654,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"154","Acacia mangium","gsmax",1481.79473154704,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"155","Acacia mangium","P12",-3.72424071828524,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"156","Acacia mangium","P50",-1.94027469833692,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"157","Acacia mangium","P88",-4.63338058014711,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"158","Acacia mangium","Rooting Depth maximum",4.54721862021213,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"159","Acacia mangium","WUE",17.2403647878766,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"160","Acacia mangium","height",21.5344062654177,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"161","Acacia mangium","SLA",9.2954438217481,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"162","Acacia mangium","LeafN",23.9336750284831,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"163","Acacia mearnsii","gsmax",316.474416402181,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"164","Acacia mearnsii","P12",-3.87816476037105,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"165","Acacia mearnsii","P50",-1.81223335444927,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"166","Acacia mearnsii","P88",-5.13587691227595,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"167","Acacia mearnsii","Rooting Depth maximum",13.4063478374978,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"168","Acacia mearnsii","WUE",13.0442411808173,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"169","Acacia mearnsii","height",13.9922018194199,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"170","Acacia mearnsii","SLA",12.0377957892418,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"171","Acacia mearnsii","LeafN",41.0294553089142,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"172","Acacia melanoxylon","gsmax",206.034247258504,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"173","Acacia melanoxylon","P12",-3.32147190272808,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"174","Acacia melanoxylon","P50",-1.52374956488609,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"175","Acacia melanoxylon","P88",-5.12261908570925,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"176","Acacia melanoxylon","Rooting Depth maximum",5.69258523718764,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"177","Acacia melanoxylon","WUE",13.8406239958604,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"178","Acacia melanoxylon","height",28.524720621109,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"179","Acacia melanoxylon","SLA",10.6482318735123,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"180","Acacia melanoxylon","LeafN",40.6598392677307,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"181","Acacia parramattensis","gsmax",231.944746602376,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"182","Acacia parramattensis","P12",-3.20214744230111,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"183","Acacia parramattensis","P50",-1.86701747516791,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"184","Acacia parramattensis","P88",-5.17062519192696,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"185","Acacia parramattensis","Rooting Depth maximum",11.4942909382346,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"186","Acacia parramattensis","WUE",13.0044857853651,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"187","Acacia parramattensis","height",10.9573456716537,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"188","Acacia parramattensis","SLA",11.5088407595952,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"189","Acacia parramattensis","LeafN",31.4217634614309,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"190","Acacia verticillata","gsmax",539.195798327128,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"191","Acacia verticillata","P12",-2.90105941096942,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"192","Acacia verticillata","P50",-1.72688454131285,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"193","Acacia verticillata","P88",-5.12702376643817,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"194","Acacia verticillata","Rooting Depth maximum",4.92996908262372,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"195","Acacia verticillata","WUE",14.2100939183434,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"196","Acacia verticillata","height",12.9463475926717,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"197","Acacia verticillata","SLA",11.0767945599556,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"198","Acacia verticillata","LeafN",26.3484304173787,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"199","Acer buergerianum","gsmax",226.514857444763,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"200","Acer buergerianum","P12",-1.53306261430184,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"201","Acer buergerianum","P50",-2.56111428101857,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"202","Acer buergerianum","P88",-4.66672523101171,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"203","Acer buergerianum","Rooting Depth maximum",1.94643509421498,"m","imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
"204","Acer buergerianum","WUE",11.4540416143338,NA,"imputed, random tree with phylogenetic eigenvector maps (PEM)","Knighton et al. (2025)"
