"spp_name","trait_name","value","unit","source","id_dfdo","comment","kind"
"Guarea guidonia","SLA",22.6244343891403,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221159","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Guarea guidonia","SLA",22.7790432801822,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221160","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fagus sylvatica","SLA",11.6190476190476,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221197","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fagus sylvatica","SLA",32.8823529411765,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221198","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fagus sylvatica","SLA",12,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221200","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Fagus sylvatica","SLA",40.75,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221201","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Betula pendula","SLA",16.4,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221202","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Betula pendula","SLA",22.6,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221203","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Betula pendula","SLA",20.7,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221204","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Betula pendula","SLA",29.9,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221205","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Betula pendula","SLA",32.8,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221206","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Quercus rubra","SLA",18.0505415162455,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221207","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Quercus rubra","SLA",16.750418760469,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221208","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer rubrum","SLA",24.2718446601942,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221252","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer rubrum","SLA",31.3479623824451,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221253","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer rubrum","SLA",29.940119760479,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221254","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer rubrum","SLA",29.5857988165681,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221255","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Prunus serotina","SLA",25.4452926208651,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221256","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Prunus serotina","SLA",37.1747211895911,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221257","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Prunus serotina","SLA",22.3214285714286,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221258","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Prunus serotina","SLA",38.9105058365759,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221259","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Ficus benjamina","SLA",12.4318181818182,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221260","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Ficus benjamina","SLA",11.71875,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221261","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Ficus benjamina","SLA",14.0384615384615,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221262","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Ficus benjamina","SLA",16.1111111111111,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221263","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer negundo","SLA",22.9885057471264,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221272","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer rubrum","SLA",17.9856115107914,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221274","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer saccharinum","SLA",27.8551532033426,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221275","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer saccharinum","SLA",14.367816091954,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221276","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer saccharum","SLA",38.1679389312977,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221277","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Acer saccharum","SLA",24.2130750605327,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221278","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"Betula alleghaniensis","SLA",49.2610837438424,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221279","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
