"spp_name","trait_name","value","unit","comment","kind","source"
"Macaranga carolinensis","Plant height (maximum)",17.35401626,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","Leaf nitrogen concentration",15.51672274,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","Wood Density",0.503152923,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","Leaf phosphorous concentration",1.765631222,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","Leaf Dry Matter Content",0.380189396,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","Seed Dry Mass",16.50821057,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","SLA",12.70866699,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Macaranga carolinensis","Leaf area",512.861384,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Plant height (maximum)",2.727093323,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Leaf nitrogen concentration",35.43949845,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Wood Density",0.539798241,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Leaf phosphorous concentration",2.398125705,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Leaf Dry Matter Content",0.283235076,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Seed Dry Mass",323.4487602,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","SLA",39.12682516,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Ricinus communis","Leaf area",5629.817209,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","Plant height (maximum)",5.317408188,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Claoxylon carolinianum","Leaf nitrogen concentration",29.36973311,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
