"","spp_name","trait_name","value","unit","kind","source","comment"
"116","Acacia beckleri","diaspore mass","17.8","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 192, growth form = tree"
"117","Acacia betchei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 194, growth form = tree"
"118","Acacia betchei","diaspore mass","32.31","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 194, growth form = tree"
"119","Acacia bidwillii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 195, growth form = tree"
"120","Acacia bidwillii","diaspore mass","73.6602","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 195, growth form = tree"
"121","Acacia bidwillii","ssd observed","0.67","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 195, growth form = tree"
"122","Acacia bidwillii","ssd combined","0.67","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 195, growth form = tree"
"123","Acacia bifaria","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 196, growth form = tree"
"124","Acacia bifaria","diaspore mass","3.92","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 196, growth form = tree"
"125","Acacia binervia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 198, growth form = tree"
"126","Acacia binervia","diaspore mass","10.24","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 198, growth form = tree"
"127","Acacia bivenosa","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 199, growth form = tree"
"128","Acacia bivenosa","diaspore mass","26.66","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 199, growth form = tree"
"129","Acacia bivenosa","ssd observed","0.63482281","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 199, growth form = tree"
"130","Acacia bivenosa","ssd combined","0.63482281","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 199, growth form = tree"
"131","Acacia blakei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 200, growth form = tree"
"132","Acacia blakei","diaspore mass","6.59","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 200, growth form = tree"
"133","Acacia blakelyi","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 201, growth form = tree"
"134","Acacia blakelyi","diaspore mass","23.13","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 201, growth form = tree"
"135","Acacia boormanii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 204, growth form = tree"
"136","Acacia boormanii","diaspore mass","12.6143","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 204, growth form = tree"
"137","Acacia botrydion","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 207, growth form = tree"
"138","Acacia botrydion","diaspore mass","19.47","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 207, growth form = tree"
"139","Acacia brachystachya","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"140","Acacia brachystachya","leaf area","88.68","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"141","Acacia brachystachya","lma","280.6069928","g m-2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"142","Acacia brachystachya","plant height","2.892507609","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"143","Acacia brachystachya","diaspore mass","31.0462","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"144","Acacia brachystachya","ssd observed","0.989797959","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"145","Acacia brachystachya","ssd combined","0.989797959","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 209, growth form = tree"
"146","Acacia brassii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 210, growth form = tree"
"147","Acacia brassii","diaspore mass","7.84","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 210, growth form = tree"
"148","Acacia browniana","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 212, growth form = tree"
"149","Acacia browniana","diaspore mass","4.59","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 212, growth form = tree"
"150","Acacia brumalis","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 214, growth form = tree"
"151","Acacia brumalis","diaspore mass","16.19","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 214, growth form = tree"
"152","Acacia burbidgeae","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 216, growth form = tree"
"153","Acacia burbidgeae","diaspore mass","8.06","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 216, growth form = tree"
"154","Acacia burkei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 217, growth form = tree"
"155","Acacia burkei","nmass","20.29","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 217, growth form = tree"
"156","Acacia burkei","plant height","8.689160953","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 217, growth form = tree"
"157","Acacia burkei","diaspore mass","127.42","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 217, growth form = tree"
"158","Acacia bussei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65089, growth form = tree"
"159","Acacia bussei","diaspore mass","24.38","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65089, growth form = tree"
"160","Acacia buxifolia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 219, growth form = tree"
"161","Acacia buxifolia","diaspore mass","14.3467","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 219, growth form = tree"
"162","Acacia caerulescens","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65090, growth form = tree"
"163","Acacia caerulescens","diaspore mass","37.86","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 65090, growth form = tree"
"164","Acacia caesia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 220, growth form = tree"
"165","Acacia caesia","leaf area","22.91","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 220, growth form = tree"
"166","Acacia caesia","plant height","14.49137675","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 220, growth form = tree"
"167","Acacia caffra","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 222, growth form = tree"
"168","Acacia caffra","nmass","26.87625532","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 222, growth form = tree"
"169","Acacia caffra","plant height","4.161095457","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 222, growth form = tree"
"170","Acacia caffra","diaspore mass","43.58","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 222, growth form = tree"
"171","Acacia calamifolia","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 223, growth form = tree"
"172","Acacia calamifolia","diaspore mass","20.6319","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 223, growth form = tree"
"173","Acacia calcicola","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 224, growth form = tree"
"174","Acacia calcicola","diaspore mass","45","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 224, growth form = tree"
"175","Acacia cambagei","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 225, growth form = tree"
"176","Acacia cambagei","leaf area","397","mm2","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 225, growth form = tree"
"177","Acacia cambagei","plant height","10","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 225, growth form = tree"
"178","Acacia cambagei","diaspore mass","27.8405","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 225, growth form = tree"
"179","Acacia cambagei","ssd observed","1.07728489","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 225, growth form = tree"
"180","Acacia cambagei","ssd combined","1.07728489","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 225, growth form = tree"
"181","Acacia cardiophylla","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 227, growth form = tree"
"182","Acacia cardiophylla","diaspore mass","14.0459","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 227, growth form = tree"
"183","Acacia catechu","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 228, growth form = tree"
"184","Acacia catechu","nmass","17.41206478","mg g-1","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 228, growth form = tree"
"185","Acacia catechu","plant height","15","m","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 228, growth form = tree"
"186","Acacia catechu","diaspore mass","42.6577","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 228, growth form = tree"
"187","Acacia catechu","ssd observed","0.779743548","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 228, growth form = tree"
"188","Acacia catechu","ssd combined","0.779743548","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 228, growth form = tree"
"189","Acacia chalkeri","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 233, growth form = tree"
"190","Acacia chalkeri","diaspore mass","7.6592","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 233, growth form = tree"
"191","Acacia chapmanii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 234, growth form = tree"
"192","Acacia chapmanii","diaspore mass","3.08","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 234, growth form = tree"
"193","Acacia chisholmii","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 237, growth form = tree"
"194","Acacia chisholmii","diaspore mass","15.92","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 237, growth form = tree"
"195","Acacia chisholmii","ssd observed","0.789430174","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 237, growth form = tree"
"196","Acacia chisholmii","ssd combined","0.789430174","mg mm-3","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 237, growth form = tree"
"197","Acacia chrysotricha","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 238, growth form = tree"
"198","Acacia chrysotricha","diaspore mass","16.6","mg","TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 238, growth form = tree"
"199","Acacia chundra","leaf type","broadleaved",NA,"TRY mean values","Diaz et al. (2022)","try_30_acc_spp_id = 239, growth form = tree"
