"","spp_name","trait_name","value","unit","kind","source","comment"
"75","Beilschmiedia roxburghiana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"76","Cassytha capillaris","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"77","Cassytha filiformis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"78","Cassytha flindersii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"79","Cassytha glabella","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Australian Fire Ecology Database",NA
"80","Cassytha melantha","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"81","Cassytha pedicellosa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"82","Cassytha peninsularis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"83","Cassytha pubescens","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Australian Fire Ecology Database",NA
"84","Cassytha racemosa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"85","Chlorocardium rodiei","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"86","Cinnamomum austro-sinensis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"87","Cinnamomum bejolghota","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"88","Cinnamomum burmanni","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"89","Cinnamomum camphora","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"90","Cinnamomum chartophyllum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"91","Cinnamomum glanduliferum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"92","Cinnamomum iners","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"93","Cinnamomum micranthum","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"94","Cinnamomum migao","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"95","Aiouea neurophylla","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"96","Cinnamomum oliveri","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
"97","Cinnamomum pittosporoides","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"98","Cinnamomum parthenoxylon","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"99","Aiouea tetragona","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Species able to reproduce after fire in a Brazilian Savanna",NA
"100","Cinnamomum subavenium","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"101","Cinnamomum tamala","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"102","Cinnamomum tenuipile","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"103","Cinnamomum wilsonii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"104","Cryptocarya acutifolia","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"105","Cryptocarya aschersoniana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Traits and ecological strategies of 66 subtropical tree species in the Brazilian Atlantic Forest",NA
"106","Cryptocarya brachythyrsa","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"107","Cryptocarya chinensis","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | KEW Seed Information Database (SID)",NA
"108","Cryptocarya chingii","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China",NA
"109","Cryptocarya clarksoniana","seed dispersal category","Zoochory",NA,"TRY data","Jin et al. (2016) | AusTraits, a curated plant trait database for the Australian flora",NA
