"","spp_name","trait_name","value","unit_name","source","id_dfdo","comment","kind"
"61","Fraxinus excelsior","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218275","longevity with categories","Single"
"62","Hura crepitans","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218282","longevity with categories","Single"
"63","Hymenaea courbaril","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218283","longevity with categories","Single"
"64","Lonchocarpus heptaphyllus","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218296","longevity with categories","Single"
"65","Maesopsis eminii","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218300","longevity with categories","Single"
"66","Melaleuca quinquenervia","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218301","longevity with categories","Single"
"67","Prunus serotina","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218331","longevity with categories","Single"
"68","Sambucus nigra","Plant lifespan (longevity)",NA,"year","TRY.Dispersal Traits Database","48_190_218340","longevity with categories","Single"
"69","Bursera simaruba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.7924528301887,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221041","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"70","Capparis baducca","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.9856115107914,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221042","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"71","Cecropia obtusifolia","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.7226463104326,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221044","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"72","Dendropanax arboreus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.6496272630458,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221052","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"73","Faramea occidentalis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.5207373271889,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221055","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"74","Guarea glabra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",8.71839581517001,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221058","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"75","Piper amalago","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.220700152207,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221069","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"76","Piper hispidum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",15.4320987654321,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221071","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"77","Trema micrantha","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.3913043478261,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221086","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"78","Turpinia occidentalis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.3304562268804,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221090","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"79","Fraxinus pennsylvanica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.6463654223969,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221098","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"80","Fraxinus pennsylvanica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.2839756592292,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221099","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"81","Fraxinus pennsylvanica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.2020202020202,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221100","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
"82","Fraxinus pennsylvanica","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.796992481203,"mm2 mg-1","TRY.Global Leaf Robustness and Physiology Database","87_6584_221101","Ulo Niinemets: LMA for projected area basis -always for broad-leaved species | (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or ecluded","Single"
