Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
490	-1574.678	-1625.836	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
500	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
500	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
510	-1574.536	-1625.693	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
510	-1574.536	-1625.693	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
520	-1575.699	-1626.856	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
520	-1575.699	-1626.856	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
530	-1573.91	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
530	-1573.91	-1625.067	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
540	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
540	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
550	-1573.977	-1625.135	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
550	-1573.977	-1625.135	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
560	-1575.472	-1626.63	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
560	-1575.472	-1626.63	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
570	-1574.099	-1625.257	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
570	-1574.099	-1625.257	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
580	-1574.168	-1625.326	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
580	-1574.168	-1625.326	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
590	-1574.387	-1625.545	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
590	-1574.387	-1625.545	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
600	-1574.563	-1625.721	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
600	-1574.563	-1625.721	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
610	-1574.288	-1625.446	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
610	-1574.288	-1625.446	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
620	-1575.891	-1627.048	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
620	-1575.891	-1627.048	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
630	-1574.914	-1626.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
630	-1574.914	-1626.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
640	-1575.05	-1626.208	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
640	-1575.05	-1626.208	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
650	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
650	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
660	-1573.94	-1625.098	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
660	-1573.94	-1625.098	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
670	-1575.08	-1626.238	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
670	-1575.08	-1626.238	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
680	-1573.917	-1625.074	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
680	-1573.917	-1625.074	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
690	-1574.271	-1625.428	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
690	-1574.271	-1625.428	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
700	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
700	-1573.914	-1625.072	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
710	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
710	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
720	-1576.507	-1627.665	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
720	-1576.507	-1627.665	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
