Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1560	-1557.804	-1625.245	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1570	-1558.144	-1625.586	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1580	-1557.83	-1625.271	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1590	-1557.664	-1625.106	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1600	-1557.916	-1625.358	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1610	-1557.636	-1625.077	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1620	-1557.669	-1625.11	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1630	-1557.738	-1625.18	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1640	-1558.175	-1625.616	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1650	-1557.806	-1625.247	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1660	-1557.628	-1625.069	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1670	-1557.626	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1680	-1557.637	-1625.079	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1690	-1557.697	-1625.138	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1700	-1557.627	-1625.068	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1710	-1558.665	-1626.106	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1720	-1557.777	-1625.218	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1730	-1559.702	-1627.144	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1740	-1557.729	-1625.17	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1750	-1557.864	-1625.306	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1760	-1560.198	-1627.64	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1770	-1557.627	-1625.069	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1780	-1557.644	-1625.085	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1790	-1557.692	-1625.134	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1800	-1557.664	-1625.105	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1810	-1558.957	-1626.398	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1820	-1557.894	-1625.336	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1830	-1557.806	-1625.247	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1840	-1558.04	-1625.481	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1850	-1557.781	-1625.223	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1860	-1558.996	-1626.438	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1870	-1559.229	-1626.67	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1880	-1557.881	-1625.323	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1890	-1557.634	-1625.075	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1900	-1558.027	-1625.469	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1910	-1558.068	-1625.509	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1920	-1557.992	-1625.433	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1930	-1557.676	-1625.117	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1940	-1557.793	-1625.234	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1950	-1558.022	-1625.463	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1960	-1557.648	-1625.089	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1970	-1557.757	-1625.199	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1980	-1558.375	-1625.816	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1990	-1559.108	-1626.55	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2000	-1558.598	-1626.039	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2010	-1557.961	-1625.402	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2020	-1558.722	-1626.164	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2030	-1558.189	-1625.631	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2040	-1557.643	-1625.085	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2050	-1557.931	-1625.372	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2060	-1558.288	-1625.729	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2070	-1557.737	-1625.178	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2080	-1558.334	-1625.775	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2090	-1557.704	-1625.145	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2100	-1557.782	-1625.223	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2110	-1560.205	-1627.646	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2120	-1557.85	-1625.291	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2130	-1557.69	-1625.132	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2140	-1558.256	-1625.697	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2150	-1557.68	-1625.121	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2160	-1557.899	-1625.341	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2170	-1557.925	-1625.366	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2180	-1558.622	-1626.063	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2190	-1559.266	-1626.707	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2200	-1557.626	-1625.067	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2210	-1557.883	-1625.324	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
2220	-1557.634	-1625.076	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
