Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1	1	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
158	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
159	1	-1558.642	-1626.083	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
160	0	-1573.983	-1625.141	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
161	1	-1558.642	-1626.083	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
162	0	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
163	1	-1559.202	-1626.644	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
164	0	-1573.926	-1625.084	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
165	1	-1559.202	-1626.644	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
166	0	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
167	1	-1557.764	-1625.205	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
168	0	-1573.918	-1625.076	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
169	1	-1557.764	-1625.205	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
170	0	-1574.105	-1625.262	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
171	1	-1559.181	-1626.623	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
172	0	-1574.105	-1625.262	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
173	1	-1559.181	-1626.623	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
174	0	-1574.003	-1625.16	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
175	1	-1557.992	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
176	0	-1574.003	-1625.16	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
177	1	-1557.992	-1625.434	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
178	0	-1574.215	-1625.373	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
179	1	-1557.879	-1625.321	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
180	0	-1574.215	-1625.373	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
181	1	-1557.879	-1625.321	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
182	0	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
183	1	-1558.012	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
184	0	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
185	1	-1558.012	-1625.454	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
186	0	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
187	1	-1557.951	-1625.392	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
188	0	-1573.937	-1625.095	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
189	1	-1557.951	-1625.392	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
190	0	-1574.155	-1625.312	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
191	1	-1558.354	-1625.796	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
192	0	-1574.155	-1625.312	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
193	1	-1558.354	-1625.796	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
194	0	-1573.932	-1625.089	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
195	1	-1558.539	-1625.981	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
196	0	-1573.932	-1625.089	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
197	1	-1558.539	-1625.981	67.44141	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
