Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
1220	-1557.685	-1625.126	67.44141	0.973946	0.973459	0.973859	0.974786	0.974998	0.97091	0.968263	0.976539	0.979747	0.978896
1230	-1557.627	-1625.068	67.44141	0.970088	0.97838	0.97753	0.973432	0.97663	0.977561	0.974895	0.974407	0.974619	0.975019
1240	-1558.425	-1625.866	67.44141	0.985987	0.985131	0.988367	0.996815	0.994097	0.989929	0.990144	0.991087	0.991494	0.990998
1250	-1557.727	-1625.168	67.44141	0.963403	0.971638	0.970794	0.966724	0.9699	0.970824	0.968176	0.967692	0.967902	0.9683
1260	-1557.983	-1625.424	67.44141	0.958091	0.958299	0.958693	0.956078	0.9556	0.95874	0.959653	0.95882	0.9548	0.962961
1270	-1557.659	-1625.101	67.44141	0.96596	0.96617	0.963535	0.963931	0.967098	0.966614	0.965775	0.966695	0.974957	0.97087
1280	-1558.052	-1625.493	67.44141	0.981544	0.981947	0.981456	0.981669	0.982604	0.979924	0.975816	0.979022	0.98739	0.986532
1290	-1558.604	-1626.045	67.44141	0.950561	0.953684	0.951083	0.950257	0.950464	0.958588	0.958981	0.954961	0.954483	0.955392
1300	-1557.653	-1625.094	67.44141	0.972477	0.973404	0.972917	0.968838	0.969236	0.97752	0.977732	0.976883	0.974219	0.97742
1310	-1557.717	-1625.158	67.44141	0.975034	0.975245	0.972585	0.972985	0.976181	0.975693	0.974846	0.975775	0.984115	0.979989
1320	-1558.168	-1625.609	67.44141	0.955437	0.951432	0.959564	0.960478	0.959644	0.959164	0.962316	0.962711	0.960085	0.960293
1330	-1557.972	-1625.414	67.44141	0.980362	0.977689	0.977901	0.981114	0.981517	0.980664	0.980174	0.988552	0.989493	0.985345
1340	-1557.63	-1625.071	67.44141	0.970591	0.970989	0.970504	0.970714	0.971639	0.968989	0.964927	0.968097	0.976372	0.975524
1350	-1557.865	-1625.307	67.44141	0.960152	0.956127	0.957037	0.965217	0.964735	0.963897	0.964293	0.967461	0.967671	0.965032
1360	-1557.697	-1625.139	67.44141	0.974407	0.97356	0.981882	0.985108	0.980978	0.978303	0.979235	0.979447	0.978957	0.979359
1370	-1557.72	-1625.161	67.44141	0.963626	0.966792	0.965953	0.963318	0.971552	0.971763	0.967689	0.968086	0.969008	0.968524
1380	-1557.675	-1625.117	67.44141	0.965213	0.965609	0.965819	0.965336	0.962703	0.96362	0.966786	0.962733	0.961897	0.970119
1390	-1557.995	-1625.437	67.44141	0.980716	0.978041	0.978253	0.981468	0.98187	0.981018	0.980527	0.988908	0.98985	0.9857
1400	-1558.761	-1626.202	67.44141	0.989132	0.988273	0.99672	0.999995	0.995803	0.993087	0.994033	0.994249	0.993751	0.994159
1410	-1558.238	-1625.68	67.44141	0.954544	0.954936	0.955143	0.954666	0.952062	0.952969	0.9561	0.952092	0.951265	0.959396
1420	-1557.707	-1625.148	67.44141	0.974723	0.975651	0.975163	0.971075	0.971474	0.979777	0.97999	0.979139	0.976469	0.979677
1430	-1557.66	-1625.101	67.44141	0.972868	0.973079	0.973478	0.970823	0.970338	0.973526	0.974454	0.973607	0.969526	0.977812
1440	-1557.745	-1625.186	67.44141	0.962889	0.958852	0.967048	0.967969	0.967128	0.966645	0.969821	0.970219	0.967573	0.967783
1450	-1558.67	-1626.112	67.44141	0.949924	0.950829	0.946843	0.946369	0.954458	0.95485	0.954021	0.954228	0.957363	0.954752
1460	-1557.902	-1625.343	67.44141	0.959471	0.959865	0.959385	0.959593	0.960507	0.957888	0.953872	0.957006	0.965186	0.964347
1470	-1557.717	-1625.159	67.44141	0.975063	0.975274	0.975675	0.973014	0.972527	0.975723	0.976652	0.975804	0.971713	0.980019
1480	-1557.782	-1625.224	67.44141	0.961936	0.959313	0.962465	0.962674	0.961837	0.962232	0.970457	0.969972	0.965905	0.966825
1490	-1557.814	-1625.255	67.44141	0.96121	0.969426	0.965362	0.964523	0.965442	0.968614	0.96813	0.96549	0.965886	0.966096
1500	-1559.498	-1626.94	67.44141	0.994674	1.00318	0.998971	0.998103	0.999054	1.00234	1.00184	0.999103	0.999513	0.99973
1510	-1557.829	-1625.271	67.44141	0.960876	0.956848	0.957759	0.965945	0.965463	0.964624	0.96502	0.968191	0.968401	0.96576
1520	-1557.929	-1625.37	67.44141	0.958986	0.958507	0.9589	0.959814	0.960022	0.955997	0.95339	0.961539	0.964698	0.96386
1530	-1557.81	-1625.251	67.44141	0.961305	0.964463	0.963626	0.960998	0.969212	0.969422	0.965358	0.965754	0.966674	0.966191
1540	-1558.392	-1625.834	67.44141	0.952756	0.948762	0.956871	0.957783	0.956951	0.956472	0.959615	0.960009	0.957391	0.957598
1550	-1557.842	-1625.283	67.44141	0.978064	0.973964	0.982289	0.983224	0.98237	0.981879	0.985105	0.98551	0.982822	0.983035
1560	-1557.804	-1625.245	67.44141	0.961436	0.969654	0.968812	0.96475	0.96792	0.968842	0.9662	0.965717	0.965926	0.966323
1570	-1558.144	-1625.586	67.44141	0.982789	0.982298	0.983234	0.983637	0.979514	0.979726	0.9881	0.985405	0.98455	0.987784
1580	-1557.83	-1625.271	67.44141	0.977826	0.975159	0.978363	0.978575	0.977725	0.978127	0.986487	0.985994	0.98186	0.982795
1590	-1557.664	-1625.106	67.44141	0.96571	0.966107	0.966316	0.965833	0.963199	0.964117	0.967285	0.963229	0.962393	0.970619
1600	-1557.916	-1625.358	67.44141	0.95921	0.959418	0.956802	0.957194	0.960339	0.959859	0.959026	0.959939	0.968144	0.964085
1610	-1557.636	-1625.077	67.44141	0.971294	0.968645	0.971828	0.972038	0.971194	0.971593	0.979897	0.979407	0.975301	0.97623
1620	-1557.669	-1625.11	67.44141	0.973289	0.970635	0.970846	0.974035	0.974435	0.973589	0.973102	0.98142	0.982354	0.978236
1630	-1557.738	-1625.18	67.44141	0.975669	0.978875	0.978024	0.975357	0.983694	0.983907	0.979782	0.980185	0.981118	0.980628
1640	-1558.175	-1625.616	67.44141	0.955341	0.955548	0.952943	0.953334	0.956466	0.955988	0.955157	0.956067	0.964239	0.960197
1650	-1557.806	-1625.247	67.44141	0.961386	0.958764	0.961915	0.962123	0.961288	0.961682	0.969902	0.969417	0.965353	0.966272
1660	-1557.628	-1625.069	67.44141	0.968488	0.968886	0.968401	0.968611	0.969534	0.96689	0.962837	0.966	0.974257	0.973411
1670	-1557.626	-1625.068	67.44141	0.969817	0.970027	0.970425	0.967779	0.967295	0.970473	0.971398	0.970554	0.966485	0.974746
1680	-1557.637	-1625.079	67.44141	0.967379	0.975647	0.9748	0.970713	0.973903	0.97483	0.972172	0.971686	0.971897	0.972296
1690	-1557.697	-1625.138	67.44141	0.964377	0.963895	0.964813	0.965209	0.961163	0.961371	0.969588	0.966944	0.966104	0.969278
1700	-1557.627	-1625.068	67.44141	0.968717	0.966076	0.96925	0.96946	0.968618	0.969015	0.977298	0.976809	0.972714	0.973641
1710	-1558.665	-1626.106	67.44141	0.988291	0.996738	0.992559	0.991697	0.992642	0.995903	0.995405	0.992691	0.993098	0.993314
1720	-1557.777	-1625.218	67.44141	0.962066	0.961585	0.961979	0.962896	0.963105	0.959067	0.956452	0.964627	0.967796	0.966955
1730	-1559.702	-1627.144	67.44141	0.941737	0.941267	0.942163	0.94255	0.938598	0.938802	0.946826	0.944244	0.943424	0.946524
1740	-1557.729	-1625.17	67.44141	0.975402	0.978606	0.977757	0.97509	0.983425	0.983638	0.979514	0.979916	0.98085	0.980359
1750	-1557.864	-1625.306	67.44141	0.96017	0.957552	0.957759	0.960906	0.9613	0.960466	0.959985	0.968191	0.969113	0.96505
1760	-1560.198	-1627.64	67.44141	0.99897	0.99938	0.998881	0.999097	1.00005	0.997322	0.993141	0.996404	1.00492	1.00405
1770	-1557.627	-1625.069	67.44141	0.968671	0.971854	0.97101	0.968362	0.976639	0.976851	0.972755	0.973155	0.974082	0.973595
1780	-1557.644	-1625.085	67.44141	0.971924	0.975117	0.972458	0.971613	0.971824	0.980131	0.980533	0.976422	0.975934	0.976864
1790	-1557.692	-1625.134	67.44141	0.974223	0.970138	0.971062	0.979362	0.978873	0.978023	0.978424	0.981639	0.981852	0.979174
1800	-1557.664	-1625.105	67.44141	0.965727	0.9689	0.968059	0.965419	0.97367	0.973882	0.969799	0.970197	0.971121	0.970635
1810	-1558.957	-1626.398	67.44141	0.99075	0.986596	0.987536	0.995977	0.995479	0.994615	0.995023	0.998292	0.998509	0.995786
1820	-1557.894	-1625.336	67.44141	0.979059	0.978209	0.981422	0.989811	0.987112	0.982973	0.983187	0.984123	0.984527	0.984035
1830	-1557.806	-1625.247	67.44141	0.961383	0.961592	0.958969	0.959363	0.962515	0.962034	0.961198	0.962114	0.970337	0.966269
1840	-1558.04	-1625.481	67.44141	0.981378	0.981591	0.978914	0.979316	0.982534	0.982042	0.981189	0.982124	0.990519	0.986366
1850	-1557.781	-1625.223	67.44141	0.961954	0.970177	0.966109	0.96527	0.96619	0.969364	0.96888	0.966237	0.966634	0.966844
1860	-1558.996	-1626.438	67.44141	0.991062	0.991277	0.991684	0.98898	0.988485	0.991733	0.992678	0.991816	0.987658	0.9961
1870	-1559.229	-1626.67	67.44141	0.945171	0.942594	0.945691	0.945896	0.945074	0.945462	0.953544	0.953067	0.949071	0.949975
1880	-1557.881	-1625.323	67.44141	0.97882	0.979033	0.979434	0.976763	0.976275	0.979483	0.980416	0.979564	0.975458	0.983795
1890	-1557.634	-1625.075	67.44141	0.967712	0.968109	0.967625	0.967835	0.968757	0.966115	0.962065	0.965225	0.973475	0.97263
1900	-1558.027	-1625.469	67.44141	0.9574	0.957608	0.958001	0.955389	0.954911	0.958048	0.958961	0.958128	0.954111	0.962266
1910	-1558.068	-1625.509	67.44141	0.98177	0.984996	0.98414	0.981456	0.989845	0.99006	0.985909	0.986314	0.987253	0.98676
1920	-1557.992	-1625.433	67.44141	0.980662	0.976551	0.977481	0.985836	0.985343	0.984487	0.984891	0.988127	0.988341	0.985646
1930	-1557.676	-1625.117	67.44141	0.97358	0.972735	0.975931	0.984272	0.981588	0.977473	0.977685	0.978616	0.979018	0.978528
