Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]
83	1	-1557.764	-1625.205	67.44141	0.962397	0.961916	0.962311	0.963227	0.963436	0.959397	0.956781	0.964959	0.968129	0.967288
84	0	-1574.105	-1625.262	51.15772	0.961059	0.963916	0.964648	0.961786	0.962854	0.964627	0.965377	0.964981	0.962488	0.963333
85	1	-1559.181	-1626.623	67.44141	0.992463	0.988303	0.989244	0.997699	0.997201	0.996335	0.996743	1.00002	1.00024	0.997507
86	0	-1574.003	-1625.16	51.15772	0.963648	0.964396	0.965468	0.962973	0.963704	0.96455	0.967418	0.967022	0.964153	0.965928
87	1	-1557.992	-1625.434	67.44141	0.980671	0.981605	0.97749	0.977002	0.985352	0.985757	0.984901	0.985114	0.988351	0.985656
88	0	-1574.215	-1625.373	51.15772	0.958948	0.961799	0.958946	0.959674	0.961441	0.962509	0.962115	0.962862	0.963707	0.961217
89	1	-1557.879	-1625.321	67.44141	0.959883	0.960798	0.95677	0.956291	0.964465	0.964861	0.964023	0.964232	0.9674	0.964762
90	0	-1574.159	-1625.317	51.15772	0.978714	0.981624	0.978712	0.979455	0.981258	0.982348	0.981946	0.982709	0.983572	0.98103
91	1	-1558.012	-1625.454	67.44141	0.980974	0.989359	0.9885	0.984356	0.98759	0.988531	0.985835	0.985342	0.985556	0.98596
92	0	-1573.937	-1625.095	51.15772	0.966271	0.967022	0.968096	0.965595	0.966328	0.967176	0.970052	0.969655	0.966778	0.968558
93	1	-1557.951	-1625.392	67.44141	0.958616	0.957784	0.96597	0.969144	0.965081	0.962449	0.963366	0.963575	0.963093	0.963488
94	0	-1574.155	-1625.312	51.15772	0.960042	0.960885	0.958402	0.95801	0.958754	0.96052	0.961586	0.958734	0.959461	0.962314
95	1	-1558.354	-1625.796	67.44141	0.985246	0.981116	0.98205	0.990444	0.989949	0.989089	0.989495	0.992746	0.992961	0.990254
96	0	-1573.932	-1625.089	51.15772	0.972194	0.96931	0.971095	0.973983	0.973584	0.974322	0.975178	0.976261	0.973738	0.974495
97	1	-1558.539	-1625.981	67.44141	0.951206	0.948612	0.951728	0.951935	0.951108	0.951498	0.959631	0.959151	0.95513	0.95604
98	0	-1574.678	-1625.836	51.15772	0.985673	0.982749	0.985671	0.987486	0.988235	0.98783	0.988928	0.989796	0.990565	0.988005
99	1	-1557.961	-1625.402	67.44141	0.980183	0.980585	0.980095	0.980308	0.981242	0.978566	0.974463	0.977665	0.986021	0.985165
100	0	-1573.983	-1625.141	51.15772	0.974471	0.975554	0.976294	0.977053	0.979958	0.977426	0.974526	0.975381	0.977177	0.976777
101	1	-1558.276	-1625.718	67.44141	0.984379	0.983524	0.986755	0.995189	0.992475	0.988314	0.988529	0.98947	0.989877	0.989382
102	0	-1574.536	-1625.693	51.15772	0.984101	0.984866	0.98596	0.983412	0.984158	0.985022	0.987951	0.987547	0.984617	0.98643
103	1	-1557.665	-1625.106	67.44141	0.965676	0.964837	0.968007	0.976281	0.973619	0.969537	0.969747	0.970671	0.971069	0.970584
104	0	-1575.699	-1626.856	51.15772	0.943771	0.940971	0.942704	0.945507	0.94512	0.945837	0.946667	0.947719	0.94527	0.946004
105	1	-1558.043	-1625.484	67.44141	0.981416	0.981819	0.982032	0.981541	0.978864	0.979796	0.983016	0.978894	0.978044	0.986404
106	0	-1573.91	-1625.067	51.15772	0.969792	0.972676	0.973414	0.970526	0.971604	0.973393	0.97415	0.973751	0.971235	0.972087
107	1	-1557.702	-1625.144	67.44141	0.974573	0.982903	0.982049	0.977932	0.981145	0.98208	0.979402	0.978912	0.979124	0.979526
108	0	-1573.918	-1625.076	51.15772	0.967654	0.969436	0.969039	0.966164	0.967012	0.969888	0.967381	0.968115	0.968868	0.969944
109	1	-1557.872	-1625.313	67.44141	0.960022	0.968228	0.967387	0.963331	0.966496	0.967417	0.964779	0.964296	0.964506	0.964901
110	0	-1573.977	-1625.135	51.15772	0.964509	0.966285	0.963419	0.963024	0.965888	0.966736	0.967469	0.964969	0.966041	0.966792
111	1	-1558.054	-1625.495	67.44141	0.981573	0.981082	0.982017	0.98242	0.978301	0.978513	0.986877	0.984186	0.983331	0.986562
112	0	-1575.472	-1626.63	51.15772	0.945482	0.945095	0.945925	0.947667	0.945218	0.942414	0.943146	0.945951	0.947001	0.94772
113	1	-1557.628	-1625.07	67.44141	0.968466	0.967982	0.968904	0.969302	0.965238	0.965447	0.973699	0.971044	0.970201	0.973388
114	0	-1574.099	-1625.257	51.15772	0.977521	0.97828	0.975753	0.976836	0.977694	0.978436	0.978035	0.980943	0.98275	0.979834
115	1	-1557.653	-1625.094	67.44141	0.966312	0.967232	0.966749	0.962696	0.963091	0.971323	0.971533	0.97069	0.968042	0.971223
116	0	-1574.168	-1625.326	51.15772	0.978884	0.981795	0.978882	0.979625	0.981429	0.982519	0.982117	0.98288	0.983743	0.981201
117	1	-1558.231	-1625.673	67.44141	0.983858	0.983003	0.986233	0.994663	0.99195	0.987791	0.988006	0.988947	0.989353	0.988858
118	0	-1574.387	-1625.545	51.15772	0.956302	0.953465	0.956301	0.958061	0.958788	0.958396	0.95946	0.960303	0.961049	0.958566
119	1	-1557.842	-1625.283	67.44141	0.960614	0.968825	0.964763	0.963926	0.964844	0.968014	0.96753	0.964891	0.965287	0.965497
120	0	-1574.563	-1625.721	51.15772	0.984414	0.985278	0.982732	0.98233	0.983093	0.984903	0.985997	0.983072	0.983818	0.986744
121	1	-1558.991	-1626.433	67.44141	0.947073	0.946251	0.954339	0.957474	0.95346	0.95086	0.951766	0.951972	0.951496	0.951887
122	0	-1574.288	-1625.446	51.15772	0.980857	0.98162	0.979083	0.980171	0.981031	0.981776	0.981374	0.984292	0.986104	0.983179
123	1	-1557.89	-1625.331	67.44141	0.959682	0.957065	0.957273	0.960418	0.960812	0.959978	0.959498	0.967699	0.968621	0.96456
124	0	-1575.891	-1627.048	51.15772	0.99539	0.992818	0.99359	0.994462	0.995567	0.995159	0.995914	0.997748	1.00071	0.997746
125	1	-1557.82	-1625.261	67.44141	0.977616	0.97495	0.978153	0.978365	0.977515	0.977917	0.986275	0.985782	0.981649	0.982584
126	0	-1574.914	-1626.072	51.15772	0.950307	0.947488	0.949233	0.952055	0.951665	0.952387	0.953224	0.954282	0.951817	0.952556
127	1	-1559.735	-1627.176	67.44141	0.996206	0.993489	0.993705	0.99697	0.997379	0.996513	0.996014	1.00453	1.00548	1.00127
128	0	-1575.05	-1626.208	51.15772	0.949032	0.948643	0.949476	0.951224	0.948766	0.945951	0.946687	0.949501	0.950556	0.951277
129	1	-1557.638	-1625.079	67.44141	0.971487	0.970644	0.97894	0.982157	0.978039	0.975372	0.976301	0.976513	0.976024	0.976425
130	0	-1573.983	-1625.141	51.15772	0.964274	0.965023	0.962529	0.963598	0.964444	0.965176	0.964781	0.96765	0.969431	0.966555
131	1	-1557.666	-1625.108	67.44141	0.965614	0.973868	0.969785	0.968943	0.969866	0.973052	0.972566	0.969914	0.970312	0.970522
132	0	-1573.94	-1625.098	51.15772	0.9727	0.973456	0.974537	0.972019	0.972757	0.973611	0.976506	0.976106	0.97321	0.975002
133	1	-1557.737	-1625.179	67.44141	0.975646	0.975158	0.975558	0.976487	0.976699	0.972605	0.969952	0.978243	0.981457	0.980604
134	0	-1575.08	-1626.238	51.15772	0.948759	0.95158	0.948757	0.949477	0.951226	0.952282	0.951892	0.952632	0.953468	0.951005
135	1	-1558.014	-1625.455	67.44141	0.957604	0.965789	0.96495	0.960905	0.964062	0.96498	0.962349	0.961867	0.962076	0.962471
136	0	-1573.917	-1625.074	51.15772	0.967793	0.964922	0.967791	0.969573	0.970308	0.969911	0.970988	0.971841	0.972596	0.970083
137	1	-1560.079	-1627.521	67.44141	0.939266	0.947294	0.946471	0.942503	0.9456	0.946501	0.94392	0.943448	0.943652	0.94404
138	0	-1574.271	-1625.428	51.15772	0.980589	0.978055	0.978815	0.979674	0.980763	0.980361	0.981105	0.982911	0.985834	0.982909
139	1	-1558.867	-1626.308	67.44141	0.990026	0.990432	0.990647	0.990152	0.987451	0.988392	0.991639	0.987482	0.986624	0.995057
140	0	-1573.914	-1625.072	51.15772	0.968137	0.967741	0.969522	0.970374	0.967495	0.964995	0.967864	0.968616	0.969351	0.970428
141	1	-1557.802	-1625.244	67.44141	0.961467	0.961676	0.962071	0.959447	0.958967	0.962118	0.963035	0.962198	0.958164	0.966354
142	0	-1573.989	-1625.147	51.15772	0.974686	0.975769	0.976509	0.977268	0.980174	0.977641	0.974741	0.975596	0.977393	0.976992
143	1	-1557.753	-1625.194	67.44141	0.962677	0.962195	0.96259	0.963507	0.963716	0.959676	0.957059	0.965239	0.968411	0.96757
144	0	-1576.507	-1627.665	51.15772	0.999111	0.996147	0.999109	1.00095	1.00171	1.0013	1.00241	1.00329	1.00407	1.00148
145	1	-1558.31	-1625.752	67.44141	0.953682	0.956815	0.955984	0.953377	0.961526	0.961735	0.957703	0.958096	0.959008	0.958529
146	0	-1574.66	-1625.817	51.15772	0.952935	0.953658	0.956494	0.957556	0.954716	0.955458	0.957217	0.954744	0.954353	0.95519
147	1	-1557.851	-1625.292	67.44141	0.978246	0.977397	0.985751	0.98899	0.984843	0.982158	0.983093	0.983306	0.982815	0.983218
148	0	-1574.036	-1625.194	51.15772	0.976046	0.977131	0.977872	0.978632	0.981542	0.979006	0.976101	0.976958	0.978757	0.978356
149	1	-1557.628	-1625.069	67.44141	0.970275	0.970673	0.970188	0.970399	0.971323	0.968674	0.964613	0.967782	0.976054	0.975207
150	0	-1574.339	-1625.497	51.15772	0.981592	0.97868	0.980483	0.983398	0.982995	0.983741	0.984605	0.985698	0.983151	0.983915
151	1	-1557.676	-1625.118	67.44141	0.965165	0.973415	0.969334	0.968492	0.969414	0.972599	0.972113	0.969462	0.96986	0.97007
152	0	-1575.257	-1626.415	51.15772	0.947221	0.944774	0.945508	0.946338	0.947389	0.947001	0.94772	0.949465	0.952288	0.949463
153	1	-1558.949	-1626.39	67.44141	0.94743	0.948332	0.947858	0.943884	0.944272	0.952343	0.952549	0.951722	0.949127	0.952245
154	0	-1574.647	-1625.805	51.15772	0.985344	0.982798	0.98366	0.984425	0.984022	0.985115	0.986929	0.987678	0.984748	0.987676
155	1	-1557.675	-1625.117	67.44141	0.965212	0.965608	0.965817	0.965334	0.962702	0.963619	0.966785	0.962732	0.961896	0.970117
156	0	-1575.176	-1626.333	51.15772	0.947918	0.948654	0.949708	0.947254	0.947973	0.948805	0.951626	0.951236	0.948414	0.950161
157	1	-1558.129	-1625.571	67.44141	0.982595	0.985823	0.983135	0.982281	0.982494	0.990892	0.991298	0.987142	0.986649	0.987589
158	0	-1574.949	-1626.107	51.15772	0.949966	0.950704	0.948248	0.949301	0.950134	0.950855	0.950466	0.953292	0.955047	0.952214
159	1	-1558.088	-1625.529	67.44141	0.95652	0.957432	0.953418	0.952941	0.961086	0.961481	0.960646	0.960854	0.964011	0.961382
160	0	-1573.914	-1625.072	51.15772	0.968063	0.967667	0.968516	0.9703	0.967793	0.964922	0.965671	0.968543	0.969618	0.970354
161	1	-1557.869	-1625.31	67.44141	0.960089	0.95747	0.957678	0.960825	0.961219	0.960384	0.959904	0.968109	0.969031	0.964968
162	0	-1573.949	-1625.107	51.15772	0.973119	0.973973	0.971456	0.971058	0.971813	0.973602	0.974684	0.971792	0.97253	0.975421
163	1	-1557.894	-1625.335	67.44141	0.959617	0.959137	0.959531	0.960445	0.960653	0.956626	0.954017	0.962171	0.965333	0.964494
164	0	-1573.957	-1625.114	51.15772	0.965302	0.964907	0.965754	0.967532	0.965032	0.962169	0.962917	0.96578	0.966853	0.967587
165	1	-1558.255	-1625.697	67.44141	0.98414	0.981456	0.981669	0.984894	0.985298	0.984443	0.98395	0.99236	0.993306	0.989142
166	0	-1574.505	-1625.663	51.15772	0.983742	0.984488	0.987416	0.988512	0.98558	0.986346	0.988162	0.985608	0.985205	0.98607
167	1	-1558.274	-1625.716	67.44141	0.984356	0.983864	0.984801	0.985205	0.981075	0.981287	0.989675	0.986976	0.986119	0.989359
168	0	-1573.989	-1625.147	51.15772	0.974685	0.97554	0.975141	0.972621	0.974412	0.975169	0.972276	0.973356	0.976251	0.976991
