"","SCIENTIFIC_NAME"
"912","Amelanchier laevis"
"913","Aralia elata"
"914","Aralia spinosa"
"915","Asimina parviflora"
"916","Baccharis glomeruliflora"
"917","Baccharis halimifolia"
"918","Bactris gasipaes"
"919","Betula pendula"
"920","Betula platyphylla"
"921","Betula pubescens"
"922","Buddleja alternifolia"
"923","Butia capitata"
"924","Buxus sempervirens"
"925","Camellia japonica"
"926","Camellia sinensis"
"927","Caragana arborescens"
"928","Carpinus betulus"
"929","Castanea crenata"
"930","Castanea sativa"
"931","Catalpa ovata"
"932","Ceanothus velutinus"
"933","Cedrus atlantica"
"934","Cedrus libani"
"935","Cedrus deodara"
"936","Cephalanthus occidentalis"
"937","Cercidiphyllum japonicum"
"938","Cercis orbiculata"
"939","Chamaecyparis obtusa"
"940","Chamaecyparis pisifera"
"941","Chilopsis linearis"
"942","Fraxinus berlandieriana"
"943","Fraxinus excelsior"
"944","Fraxinus oxycarpa"
"945","Clerodendrum bungei"
"946","Clethra acuminata"
"947","Colutea arborescens"
"948","Cornus kousa"
"949","Corylus americana"
"950","Corylus colurna"
"951","Cotinus coggygria"
"952","Cudrania tricuspidata"
"953","Cupressocyparis leylandii"
"954","Cydonia oblonga"
"955","Euonymus alatus"
"956","Fagus sylvatica"
"957","Acacia anegadensis"
"958","Acacia aneura"
"959","Acacia auriculiformis"
"960","Acacia confusa"
"961","Acacia koa"
"962","Acacia koaia"
"963","Acacia macracantha"
"964","Acacia mangium"
"965","Acacia mearnsii"
"966","Acacia melanoxylon"
"967","Acacia muricata"
"968","Acacia nilotica"
"969","Acacia parramattensis"
"970","Acacia polyacantha"
"971","Acacia dealbata"
"972","Acacia decurrens"
"973","Acacia tortuosa"
"974","Acacia longifolia"
"975","Acacia verticillata"
"976","Acnistus arborescens"
"977","Acrocomia media"
"978","Adansonia digitata"
"979","Adelia ricinella"
"980","Adenanthera pavonina"
"981","Adenanthera spp."
"982","Aegiphila martinicensis"
"983","Afrocarpus falcatus"
"984","Afrocarpus gracilior"
"985","Agathis australis"
"986","Agathis robusta"
"987","Aglaia mariannensis"
"988","Aglaia palauensis"
"989","Aglaia ponapensis"
"990","Aglaia samoensis"
"991","Aglaia spp."
"992","Aidia cochinchinensis"
"993","Aidia racemosa"
"994","Ailanthus spp."
"995","Aiphanes minima"
"996","Albizia adinocephala"
"997","Albizia carbonaria"
"998","Albizia chinensis"
"999","Albizia falcataria"
"1000","Albizia lebbeck"
"1001","Albizia procera"
"1002","Albizia retusa"
"1003","Albizia saponaria"
"1004","Albizia spp."
